ISO,FILENAME,MEAN_VALUE
SYC,cr1,5.0
SYC,h6,
SYC,h4,100.0
SYC,t1,100.0
LBR,h3,100.0
LBR,t5,0.0
LBR,t3,0.0
LBR,t2,0.0
LBR,a3,0.0
LBR,cr2,5.0
LBR,cr4,11.0
LBR,p2,100.0
LBR,a1,100.0
LBR,t6,0.0
LBR,h2,100.0
LBR,cv5b,12.0
LBR,a2,0.0
LBR,h1,100.0
LBR,t4,0.0
LBR,h5,100.0
LBR,cr1,5.0
LBR,h6,
LBR,h4,100.0
LBR,t1,100.0
MEX,h3,100.0
MEX,t5,0.0
MEX,t3,0.0
MEX,t2,0.0
MEX,a3,0.0
MEX,cr2,10.0
MEX,cr4,22.0
MEX,p2,100.0
MEX,a1,100.0
MEX,t6,0.0
MEX,h2,100.0
MEX,cv5b,12.0
MEX,a2,0.0
MEX,h1,100.0
MEX,t4,0.0
MEX,h5,100.0
MEX,cr1,5.0
MEX,h6,
MEX,h4,100.0
MEX,t1,100.0
UGA,h3,100.0
UGA,t5,0.0
UGA,t3,0.0
UGA,t2,0.0
UGA,a3,0.0
UGA,cr2,5.0
UGA,cr4,11.0
UGA,p2,100.0
UGA,a1,100.0
UGA,t6,0.0
UGA,h2,100.0
UGA,cv5b,12.0
UGA,a2,0.0
UGA,h1,100.0
UGA,t4,0.0
UGA,h5,100.0
UGA,cr1,5.0
UGA,h6,
UGA,h4,100.0
UGA,t1,100.0
NER,h3,100.0
NER,t5,0.0
NER,t3,0.0
NER,t2,0.0
NER,a3,0.0
NER,cr2,5.0
NER,cr4,11.0
NER,p2,100.0
NER,a1,100.0
NER,t6,0.0
NER,h2,100.0
NER,cv5b,12.0
NER,a2,0.0
NER,h1,100.0
NER,t4,0.0
NER,h5,100.0
NER,cr1,5.0
NER,h6,
NER,h4,100.0
NER,t1,100.0
ESP,h3,100.0
ESP,t5,0.0
ESP,t3,0.0
ESP,t2,0.0
ESP,a3,0.0
ESP,cr2,72.0
ESP,cr4,72.0
ESP,p2,100.0
ESP,a1,100.0
ESP,t6,0.0
ESP,h2,100.0
ESP,cv5b,12.0
ESP,a2,0.0
ESP,h1,100.0
ESP,t4,0.0
ESP,h5,100.0
ESP,cr1,5.0
ESP,h6,
ESP,h4,100.0
ESP,t1,100.0
GAB,h3,100.0
GAB,t5,0.0
GAB,t3,0.0
GAB,t2,0.0
GAB,a3,0.0
GAB,cr2,5.0
GAB,cr4,11.0
GAB,p2,100.0
GAB,a1,100.0
GAB,t6,0.0
GAB,h2,100.0
GAB,cv5b,12.0
GAB,a2,0.0
GAB,h1,100.0
GAB,t4,0.0
GAB,h5,100.0
GAB,cr1,5.0
GAB,h6,
GAB,h4,100.0
GAB,t1,100.0
MLT,h3,100.0
MLT,t5,0.0
MLT,t3,0.0
MLT,t2,0.0
MLT,a3,0.0
MLT,cr2,72.0
MLT,cr4,72.0
MLT,p2,100.0
MLT,a1,100.0
MLT,t6,0.0
MLT,h2,100.0
MLT,cv5b,12.0
MLT,a2,0.0
MLT,h1,100.0
MLT,t4,0.0
MLT,h5,100.0
MLT,cr1,5.0
MLT,h6,
MLT,h4,100.0
MLT,t1,100.0
GHA,h3,100.0
GHA,t5,0.0
GHA,t3,0.0
GHA,t2,0.0
GHA,a3,0.0
GHA,cr2,5.0
GHA,cr4,11.0
GHA,p2,100.0
GHA,a1,100.0
GHA,t6,0.0
GHA,h2,100.0
GHA,cv5b,12.0
GHA,a2,0.0
GHA,h1,100.0
GHA,t4,0.0
GHA,h5,100.0
GHA,cr1,5.0
GHA,h6,
GHA,h4,100.0
GHA,t1,100.0
NOR,h3,100.0
NOR,t5,0.0
NOR,t3,0.0
NOR,t2,0.0
NOR,a3,0.0
NOR,cr2,72.0
NOR,cr4,72.0
NOR,p2,100.0
NOR,a1,100.0
NOR,t6,0.0
NOR,h2,100.0
NOR,cv5b,12.0
NOR,a2,0.0
NOR,h1,100.0
NOR,t4,0.0
NOR,h5,100.0
NOR,cr1,5.0
NOR,h6,
NOR,h4,100.0
NOR,t1,100.0
MWI,h3,100.0
MWI,t5,0.0
